post_id,title,category,char_count,url,published_date,candidate
767,プレミアリーグ最新情報,column,359,https://premier-blog.com/2026/06/30/%e3%83%97%e3%83%ac%e3%83%9f%e3%82%a2%e3%83%aa%e3%83%bc%e3%82%b0%e6%9c%80%e6%96%b0%e6%83%85%e5%a0%b1/,2026-06-30T08:58:04,YES
793,プレミアリーグ最新情報,column,584,https://premier-blog.com/2026/07/01/%e3%83%97%e3%83%ac%e3%83%9f%e3%82%a2%e3%83%aa%e3%83%bc%e3%82%b0%e6%9c%80%e6%96%b0%e6%83%85%e5%a0%b1-2/,2026-07-01T09:42:56,YES
296,フェイエノールト、カリャリのGKカプリレに獲得オファーか——移籍市場の最新動向,column,880,https://premier-blog.com/2026/06/11/%e3%83%95%e3%82%a7%e3%82%a4%e3%82%a8%e3%83%8e%e3%83%bc%e3%83%ab%e3%83%88%e3%80%81%e3%82%ab%e3%83%aa%e3%83%a3%e3%83%aa%e3%81%aegk%e3%82%ab%e3%83%97%e3%83%aa%e3%83%ac%e3%81%ab%e7%8d%b2%e5%be%97%e3%82%aa/,2026-06-11T10:10:48,
32,ヴィンチェンツォ・イタリアーノ、ベシクタシュと2年契約締結へ—年俸600万ユーロの大型オファー,transfers,1064,https://premier-blog.com/2026/06/05/%e3%83%b4%e3%82%a3%e3%83%b3%e3%83%81%e3%82%a7%e3%83%b3%e3%83%84%e3%82%a9%e3%83%bb%e3%82%a4%e3%82%bf%e3%83%aa%e3%82%a2%e3%83%bc%e3%83%8e%e3%80%81%e3%83%99%e3%82%b7%e3%82%af%e3%82%bf%e3%82%b7%e3%83%a5/,2026-06-05T20:17:12,
28,ヴィンチェンツォ・イタリアーノ、ベシクタシュ新監督就任へ——2028年まで契約、年俸600万ユーロ,transfers,1161,https://premier-blog.com/2026/06/05/%e3%83%b4%e3%82%a3%e3%83%b3%e3%83%81%e3%82%a7%e3%83%b3%e3%83%84%e3%82%a9%e3%83%bb%e3%82%a4%e3%82%bf%e3%83%aa%e3%82%a2%e3%83%bc%e3%83%8e%e3%80%81%e3%83%99%e3%82%b7%e3%82%af%e3%82%bf%e3%82%b7%e3%83%a5-2/,2026-06-05T20:17:12,
378,ハムザ・アブデルカリム、W杯最年少出場記録更新——バルセロナ入りの18歳エジプト代表FW,transfers,1255,https://premier-blog.com/2026/06/17/%e3%83%8f%e3%83%a0%e3%82%b6%e3%83%bb%e3%82%a2%e3%83%96%e3%83%87%e3%83%ab%e3%82%ab%e3%83%aa%e3%83%a0%e3%80%81w%e6%9d%af%e6%9c%80%e5%b9%b4%e5%b0%91%e5%87%ba%e5%a0%b4%e8%a8%98%e9%8c%b2%e6%9b%b4%e6%96%b0/,2026-06-17T10:00:52,
374,アントニオ・リュディガー、レアル・マドリード新契約を2027年6月まで延長,europe,1329,https://premier-blog.com/2026/06/16/%e3%82%a2%e3%83%b3%e3%83%88%e3%83%8b%e3%82%aa%e3%83%bb%e3%83%aa%e3%83%a5%e3%83%87%e3%82%a3%e3%82%ac%e3%83%bc%e3%80%81%e3%83%ac%e3%82%a2%e3%83%ab%e3%83%bb%e3%83%9e%e3%83%89%e3%83%aa%e3%83%bc%e3%83%89/,2026-06-16T14:07:33,
183,ベルナルド・シルバ、W杯後に移籍先決定へ——バルセロナとアトレティコが争奪戦,transfers,1345,https://premier-blog.com/2026/06/09/%e3%83%99%e3%83%ab%e3%83%8a%e3%83%ab%e3%83%89%e3%83%bb%e3%82%b7%e3%83%ab%e3%83%90%e3%80%81w%e6%9d%af%e5%be%8c%e3%81%ab%e7%a7%bb%e7%b1%8d%e5%85%88%e6%b1%ba%e5%ae%9a%e3%81%b8-%e3%83%90/,2026-06-09T07:36:33,
255,エリオット・アンダーソン争奪戦：マンチェスター・シティが新オファー、ユナイテッドが横取りを狙う,transfers,1423,https://premier-blog.com/2026/06/11/%e3%82%a8%e3%83%aa%e3%82%aa%e3%83%83%e3%83%88%e3%83%bb%e3%82%a2%e3%83%b3%e3%83%80%e3%83%bc%e3%82%bd%e3%83%b3%e4%ba%89%e5%a5%aa%e6%88%a6%ef%bc%9a%e3%83%9e%e3%83%b3%e3%83%81%e3%82%a7%e3%82%b9%e3%82%bf/,2026-06-11T10:11:10,
108,バイエルン・ミュンヘンの18歳カール、W杯直前の練習中負傷でドイツ代表を離脱,europe,1426,https://premier-blog.com/2026/06/06/%e3%83%90%e3%82%a4%e3%82%a8%e3%83%ab%e3%83%b3%e3%83%bb%e3%83%9f%e3%83%a5%e3%83%b3%e3%83%98%e3%83%b3%e3%81%ae18%e6%ad%b3%e3%82%ab%e3%83%bc%e3%83%ab%e3%80%81w%e6%9d%af%e7%9b%b4%e5%89%8d%e3%81%ae/,2026-06-06T08:45:16,
